StoreName,GroceryChain,Cycle,ZoneName,Address,City,State,Country,PostalCode,Case Count,SingleAd,DoubleAd
STB05X-0065,Stater Bros.,A,05X,1619 N Mountain Ave,Upland,CA,US,91784,16,3550.00,4970.00
VON05X-2681,Vons,B,05X,81 W Foothill Blvd,Upland,CA,US,91786,16,3550.00,4970.00
ALB05X-0599,Albertsons,B,05X,1910 N. Campus Ave.,Upland,CA,US,91784,19,3925.00,5495.00
SAF07Z-0400,Safeway,C,07Z,3707 N Main St,Vancouver,WA,US,98663,12,3000.00,4200.00
SAF07Z-1103,Safeway,C,07Z,6701 E Mill Plain Blvd,Vancouver,WA,US,98661,12,3000.00,4200.00
QFC07Z-0212,Quality Food Center,B,07Z,3505 SE 192nd Ave,Vancouver,WA,US,98683,13,3150.00,4410.00
SAF07Z-1842,Safeway,B,07Z,13023 NE Hwy 99,Vancouver,WA,US,98686,13,3150.00,4410.00
ALB07Z-0580,Albertsons,B,07Z,14300 NE 20th Ave,Vancouver,WA,US,98686,13,3150.00,4410.00
FME07Z-0140,Fred Meyer,B,07Z,7700 NE Highway 99,Vancouver,WA,US,98665-8890,19,3925.00,5495.00
SAF07Z-1611,Safeway,A,07Z,6711 NE 63rd St,Vancouver,WA,US,98661,19,3925.00,5495.00
SAF07Z-1704,Safeway,A,07Z,6700 NE 162nd Ave Ste 500,Vancouver,WA,US,98682,24,4500.00,6300.00
SAF07Z-4405,Safeway,B,07Z,408 NE 81st St,Vancouver,WA,US,98665,25,4600.00,6440.00
FME07Z-0208,Fred Meyer,A,07Z,11325 Southeast Mill Plain Blvd,Vancouver,WA,US,98684,28,4900.00,6860.00
FME07Z-0093,Fred Meyer,C,07Z,16600 Southeast Mcgillivray Boulevard,Vancouver,WA,US,98683-8421,29,5000.00,7000.00
SAF07Z-1653,Safeway,C,07Z,2615 NE 112th Ave,Vancouver,WA,US,98684,30,5100.00,7140.00
FME07Z-0683,Fred Meyer,C,07Z,2500 Columbia House Blvd,Vancouver,WA,US,98661,32,5250.00,7350.00
FME07Z-0236,Fred Meyer,A,07Z,7411 NE 117th Ave,Vancouver,WA,US,98662,33,5325.00,7455.00
FME07Z-0460,Fred Meyer,B,07Z,800 NE Tenney Rd,Vancouver,WA,US,98685,34,5400.00,7560.00
FFL05X-0397,Food 4 Less,C,05X,14738 La Paz Dr,Victorville,CA,US,92392,12,3000.00,4200.00
VON05X-2131,Vons,B,05X,12199 Hesperia Rd,Victorville,CA,US,92395,12,3000.00,4200.00
FFL05X-0305,Food 4 Less,B,05X,16266 Bear Valley Rd,Victorville,CA,US,92392,16,3550.00,4970.00
STB05X-0123,Stater Bros.,B,05X,15235 Hook Boulevard,Victorville,CA,US,92394,16,3550.00,4970.00
STB05X-0118,Stater Bros.,A,05X,13760 Bear Valley Road,Victorville,CA,US,92392,18,3800.00,5320.00
FME07Z-0218,Fred Meyer,A,07Z,695 Highway 101,Warrenton,OR,US,97146-9527,20,4050.00,5670.00
SAF07Z-1687,Safeway,B,07Z,3307 SE Evergreen Way Ste 5,Washougal,WA,US,98671,16,3550.00,4970.00
