store_id,chain,address,city,state,zip,full_address,tape_cases
SAF07Y-4288,Safeway,145 E 18th Ave,Eugene,OR,97401,"145 E 18th Ave, Eugene, OR 97401",23
SAF07Y-4316,Safeway,244 N F Street,Lakeview,OR,97630,"244 N F Street, Lakeview, OR 97630",8
SAF07Y-4318,Safeway,401 E Columbia River Hwy,Clatskanie,OR,97016,"401 E Columbia River Hwy, Clatskanie, OR 97016",7
SAF07Y-4333,Safeway,450 Southwest Third Avenue,Corvallis,OR,97333,"450 Southwest Third Avenue, Corvallis, OR 97333",13
SAF07Y-4387,Safeway,95 82nd Drive,Gladstone,OR,97027,"95 82nd Drive, Gladstone, OR 97027",12
SAF07Y-4404,Safeway,138 W Ellendale Ave,Dallas,OR,97338,"138 W Ellendale Ave, Dallas, OR 97338",22
SAF07Y-4469,Safeway,246 West Monroe,Burns,OR,97720,"246 West Monroe, Burns, OR 97720",12
SAF07Y-4513,Safeway,350 E 40th Ave,Eugene,OR,97405,"350 E 40th Ave, Eugene, OR 97405",12
SAF07Y-2993,Safeway,13434 Colton Place,Oregon City,OR,97045,"13434 Colton Place, Oregon City, OR 97045",20
FME07Y-0516,Fred Meyer,30300 Southwest boones ferry Road,Wilsonville,OR,97070,"30300 Southwest boones ferry Road, Wilsonville, OR 97070",28
ALB07Y-3529,Albertsons,1675 W 18th Ave,Eugene,OR,97402,"1675 W 18th Ave, Eugene, OR 97402",20
ALB07Y-3508,Albertsons,910 N Phoenix Road,Medford,OR,97504,"910 N Phoenix Road, Medford, OR 97504",9
ALB07Y-0513,Albertsons,4740 Royal Ave,Eugene,OR,97402,"4740 Royal Ave, Eugene, OR 97402",22
ALB07Y-0528,Albertsons,615 SW Keck Dr,Mcminnville,OR,97128,"615 SW Keck Dr, Mcminnville, OR 97128",18
ALB07Y-3541,Albertsons,1690 Allen Creek Road,Grants Pass,OR,97527,"1690 Allen Creek Road, Grants Pass, OR 97527",13
SAF07Y-3557,Safeway,6055 SW 185th Ave,Aloha,OR,97078,"6055 SW 185th Ave, Aloha, OR 97078",11
ALB07Y-0560,Albertsons,55 Division Ave,Eugene,OR,97404,"55 Division Ave, Eugene, OR 97404",11
ALB07Y-3564,Albertsons,3075 Hilyard St.,Eugene,OR,97405,"3075 Hilyard St., Eugene, OR 97405",11
